Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Burglary
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
Kalamazoo County Sheriff Department,MI,         477,         559,         625,         554,         483,         420,         475,         507,         484,         489,         484,,,,         359,         375,         600,         580,         637,         576,         504,         662,         582,         737,         644,         546,         401,         391,         478,         483, 
Kent County Sheriff Office,MI,         653,         646,         623,         666,         728,         824,         893,         830,         741,         915,         857,         904,         974,       1011,         971,         914,       1150,       1186,       1046,       1180,       1062,       1148,       1045,         963,         833,         938,         882,         886,         670,         622, 
Lansing City Police Dept,MI,       2391,       3107,       2612,       2309,       1963,       1748,       1759,       1488,       1372,       1539,       1502,       1607,       1698,       1535,       1278,       1110,         994,       1065,       1016,       1051,       1129,       1259,       1257,       1476,       1344,       1414,       1650,       1307,       1274,         958, 
Livingston County Sheriff Department,MI,         288,         323,         263,         232,         214,         172,         240,         261,         206,,         129,         200,         198,         180,         126,         112,         125,,         192,         152,         191,         266,         278,         174,         190,         186,         156,         189,         187,          89, 
Macomb County Sheriff Office,MI,         389,         525,         513,         430,,         524,         420,         358,         319,         302,         379,         310,         347,         361,         330,         483,         313,         384,         337,         211,         349,         534,         550,         539,         512,         438,         522,         441,         438,         306, 
Monroe County Sheriff Department,MI,         706,         498,         653,         558,         645,         679,         783,         687,         625,         603,         660,         553,         576,         614,         564,         685,         770,         698,         620,         552,         591,         632,         511,         658,         622,         641,         706,         708,         598,         490, 
Oakland County Sheriff Office,MI,       1649,       1684,       1712,       1625,       1374,       1214,       1328,       1158,         970,       1007,       1142,       1114,       1076,         990,         853,         748,         807,         832,         801,         857,         805,         898,         829,         877,         818,         854,       1382,       1697,       1395,         927, 
Ottawa County Sheriff Department,MI,         364,         457,         470,         437,         413,         428,         523,         585,         525,         448,         400,         580,         744,         670,         594,         546,         742,         775,         655,         747,         733,         696,         785,         682,         727,         739,         697,         919,         601,         516, 
Sterling Heights Police Dept,MI,       1021,         960,         937,         881,         922,         731,         654,         512,         511,         418,         348,         438,         491,         394,         306,         311,         386,         393,         357,         348,         314,         356,         390,         465,         364,         363,         451,         357,         329,         221, 
Warren Police Dept,MI,       1731,       1865,       1852,       1737,       1866,       1333,       1437,         959,,       1132,         910,,,       1017,         389,         529,         768,         870,         763,         739,         812,         790,         824,         823,         927,         953,       1070,         999,         886,         742, 
Washtenaw County Sheriff Department,MI,         973,         953,       1083,         872,         787,         863,         776,         724,         556,,         914,         858,         813,         638,         737,         613,         717,         846,         726,         610,         691,         638,         734,         920,       1015,         958,         812,         878,         618,         439, 
